cid,drugbank_id,Secondary_Accession_1,Secondary_Accession_2,common_name,cas_number,unii,Synonym_1,Synonym_2,Synonym_3,smiles,number_of_atoms,net_formal_charge,molecular_formula,molecular_composition,molecular_weight,exact_mol_weight,num_h_acceptors_lipinski,num_h_donors_lipinski,num_rotatable_bonds,num_h_acceptors,num_h_donors,alogp,molecular_polar_surface_area
5961,DB00130,,,L-glutamine,56-85-9,0RH81L854J,Glutamine,L-Glutamine,,,10,0,C5H10N2O3,"C: 0.4015, H: 0.0825, N: 0.2355, O: 0.2805",146.1412766,146.071963,4,2,3,4,2,-3.94962963,93.83555556
5951,DB00138,CHEMBL300543,,L-serine,56-45-1,452VLY9402,(2S)-2-amino-3-hydroxypropanoic acid,Serine,,C([C@@H](C(=O)O)N)O,7,0,C3H7NO3,"C: 0.3312, H: 0.0705, N: 0.1335, O: 0.4649",105.0916724,105.0407033,3,2,2,3,2,-1.547162281,83.02899787
6137,DB00134,6137,,L-methionine,63-68-3,AE28E7OZHS,(2S)-2-amino-4-methylsulfanylbutanoic acid,L-2-amino-4-methylsulfanylbutanoic acid,,CSCCC(C(=O)O)N,9,0,C5H11NO2S,"C: 0.488, H: 0.0926, N: 0.1138, O: 0.26, S: 0.0456",149.2135142,149.0245852,3,2,2,3,2,-0.6975,82.99740741
6057,DB00135,,,L-tyrosine,60-18-4,42HK56048U,L-Tyrosine,Tyrosine,,C1=CC(=CC=C1C(CN)C(=O)O)O,13,0,C9H11NO3,"C: 0.5513, H: 0.0575, N: 0.0729, O: 0.3184",181.1904061,181.0719327,3,2,2,3,2,0.9775,93.80358166
750,DB00145,CHEMBL936,,Glycine,56-40-6,TE7660XO1C,Aminoacetic acid,"Glycine, non-optically active",,NCC(O)=O,5,0,C2H5NO2,"C: 0.4005, H: 0.0835, N: 0.1165, O: 0.3994",75.06787234,75.03213149,3,2,1,3,2,-1.741592357,63.21926606
5283731,DB11264,5283731,,Calcifediol,19356-17-3,GY2J3J36SK,Calcifediol,25-Hydroxyvitamin D3,,,29,0,C27H44O2,"C: 0.648, H: 0.264, O: 0.088",400.6371,400.334129,2,1,6,2,1,8.131607843,40.45502793
1050,DB00165,CHEMBL1367,,Pyridoxal,65-23-6,34H3452ER7,3-Hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,Pyridoxaldehyde,,CC1=NC=C(CO)C(=C1O)C=O,12,0,C8H9NO3,"C: 0.5621, H: 0.0538, N: 0.0816, O: 0.3025",167.1551852,167.0549643,4,2,4,4,2,0.527388535,93.28076923
586,DB11933,CHEMBL1201029,,Creatine,57-00-1,MU28OF1R2N,N-(aminoiminomethyl)-N-methylglycine,N-(aminoiminomethyl)-N-methyl-glycin,,CN(C(N)=N)CC(O)=O,9,1,C4H9N3O2,"C: 0.4048, H: 0.0747, N: 0.2848, O: 0.2357",131.1309929,131.0726332,3,2,2,4,2,-1.739166667,93.94295129
6106,DB00129,CHEBI:57427,,L-leucine,61-90-5,GMW67QNF9C,(2S)-2-amino-4-methylpentanoic acid,L-alpha-leucine,,CC(C)C[C@H](N)C(O)=O,9,0,C6H13NO2,"C: 0.634, H: 0.105, N: 0.122, O: 0.139",131.1770213,131.0948444,2,2,3,2,2,0.091019108,84.43073394
6305,DB00150,CHEBI:58328,KEGG:D00020,L-tryptophan,73-22-3,8DUH1N11BX,L-tryptophan,Tryptophan,,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,15,0,C11H12N2O2,"C: 0.6235, H: 0.0645, N: 0.1435, O: 0.1685",204.2190071,204.0894815,3,2,3,3,2,0.91454902,93.91145251
171548,DB00121,BTD00001,,Biotin,58-85-5,6SO6U10H04,Vitamin H,Vitamin B7,,,16,0,C10H16N2O3S,"C: 0.5542, H: 0.0752, N: 0.129, O: 0.2233, S: 0.0183",244.067305,244.0799327,4,2,6,5,2,1.318863636,154.5621951
5280453,DB00136,CHEMBL1689699,,Calcitriol,32222-06-3,FXC9231JVH,Calcitriol,"1,25-Dihydroxyvitamin D3",,,30,0,C27H44O3,"C: 0.837, H: 0.1147, O: 0.0483",416.6496296,416.3193991,3,3,6,3,3,6.661019108,52.94761468
67678,DB00151,CHEMBL88856,,L-cystine,52-89-1,48N8105MPA,L-Cystine,"Cystine, L-",,,14,0,C6H12N2O4S2,"C: 0.2632, H: 0.0526, N: 0.1228, O: 0.2807, S: 0.2807",240.2882935,239.9883991,6,4,5,6,4,-2.466666667,194.0942693
1110,DB00119,CHEMBL576,,Succinic acid,110-15-6,AB6MNQ6J6L,Butanedioic acid,Succinate,,C(CC(=O)O)C(=O)O,8,0,C4H6O4,"C: 0.4575, H: 0.0685, O: 0.474",118.0916028,118.0264664,4,2,3,4,2,-0.925796178,74.53577982
1738118,DB13173,CHEMBL1213456,,N-Acetyl-D-glucosamine,7512-17-6,X2J4683102,2-Acetamido-2-deoxy-D-glucose,GlcNAc,,C(C1C(C(C(C(O1)N(C(=O)C))O)O)O)O,15,0,C8H15NO6,"C: 0.383, H: 0.0757, N: 0.0557, O: 0.4856",221.2148148,221.0799327,6,3,5,7,3,-3.196590909,141.0237705
33032,DB00130,CHEMBL276525,,Glutamic acid,56-86-0,3KX376GY7L,Glutaminic acid,Glutamate,,C(CC(N)C(=O)O)C(=O)O,10,0,C5H9NO4,"C: 0.5505, H: 0.0825, N: 0.1287, O: 0.2383",147.1251852,147.0557083,3,1,3,3,1,-1.608333333,110.12375
5862,DB00151,CHEMBL89470,,L-cysteine,52-89-1,K848JZ5TRP,L-cysteine,cysteine,,C([C@@H](N)C(=O)O)S,7,0,C3H7NO2S,"C: 0.327, H: 0.066, N: 0.103, O: 0.236, S: 0.268",121.1551852,121.0248466,3,2,2,4,2,0.684814815,106.2848148
1130,DB00152,CHEMBL1547,,Thiamine,59-43-8,X66NSO3N35,Thiamin,Vitamin B1,,,18,1,C12H17N4OS,"C: 0.5728, H: 0.0667, N: 0.2227, O: 0.0626, S: 0.0753",265.3546,265.112306,6,3,6,7,4,0.975,157.289255
5280793,DB00153,,,Ergocalciferol,50-14-6,,Vitamin D2,Calciferol,,,29,0,C28H44O,"C: 0.838, H: 0.114, O: 0.048",396.8231461,396.3393959,1,1,5,1,1,7.267045455,20.99473684
9750,DB00155,CHEMBL446143,,L-citrulline,372-75-8,29VT07BGDA,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,N5-(aminocarbonyl)-L-ornithine,,,12,0,C6H13N3O3,"C: 0.3327, H: 0.0604, N: 0.196, O: 0.4109",175.1883688,175.0903991,4,3,5,4,3,-1.344203822,129.5692661
6288,DB00156,CHEMBL291451,,L-threonine,72-19-5,2ZD004190S,L-2-amino-3-hydroxybutyric acid,threonine,,C[C@H]([NH3+])[C@H](C(=O)[O-])O,8,0,C4H9NO3,"C: 0.444, H: 0.083, N: 0.129, O: 0.344",119.1103704,119.0587857,3,2,2,4,2,-1.97522293,94.17183486
5950,DB00161,CHEMBL279437,,L-alanine,56-41-7,1FU7983Z8E,alpha-Alanine,2-Aminopropanoic acid,,C[C@H](N)C(=O)O,6,0,C3H7NO2,"C: 0.4015, H: 0.0785, N: 0.1255, O: 0.3945",89.09353191,89.0483991,2,2,1,3,2,-0.554203822,75.7940367
6287,DB00161,CHEMBL279447,,L-Valine,72-18-4,HG18B9YRS7,Valine,(2S)-2-amino-3-methylbutanoic acid,,CC(C)[C@@H](N)C(O)=O,8,0,C5H11NO2,"C: 0.5526, H: 0.1, N: 0.127, O: 0.2204",117.1356028,117.0765556,2,2,2,2,2,-0.61522293,74.74853211
445354,DB00157,CHEMBL1252,,Retinol,68-26-8,G2SH6865R4,Vitamin A,Vitamin A1,,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,21,0,C20H30O,"C: 0.8376, H: 0.1144, O: 0.048",286.4513475,286.2253991,1,1,4,1,1,5.684814815,20.24444444
1054,DB00165,BTD00011,,Vitamin B6,65-23-6,KV2JZ1BI6Z,Pyridoxine,Vitamin B6,,,12,0,C8H11NO3,"C: 0.5475, H: 0.0625, N: 0.0785, O: 0.3114",169.1846809,169.073,3,2,4,4,3,0.03454902,105.6396648
6112,DB00196,CHEMBL212341,,Lipoic acid,1200-22-2,6X9U4872UK,Thioctic acid,Alpha-lipoic acid,,,12,0,C8H14O2S2,"C: 0.5466, H: 0.0801, O: 0.1821, S: 0.1912",206.1230769,205.997,2,1,6,4,1,2.406480687,74.40918864
6306,DB00166,CHEMBL94226,,L-Isoleucine,73-32-5,442FGJ4F8H,Isoleucine,"(2S,3S)-2-amino-3-methylpentanoic acid",,CC[C@H](C)[C@@H](N)C(O)=O,9,0,C6H13NO2,"C: 0.5536, H: 0.1015, N: 0.1045, O: 0.2404",131.1686525,131.0894519,2,2,3,2,2,-0.770980392,75.79480447
134601,DB00168,CHEMBL1200664,,Aspartame,22839-47-0,5FA69R3T1Q,L-Aspartyl-L-phenylalanine methyl ester,"N-(L-α-Aspartyl)-L-phenylalanine, 1-methyl ester",,,21,0,C14H18N2O5,"C: 0.5521, H: 0.0592, N: 0.0922, O: 0.2966",294.3013475,294.1036009,6,3,6,7,3,0.837083333,170.3669725
190,DB00173,,,adenine,73-24-5,JAC85A2161,6-Aminopurine,Vitamin B4,,NC1=NC=NC2=C1N=CN2,10,0,C5H5N5,"C: 0.4505, H: 0.0605, N: 0.4889",135.12622525597268,134.9974814814815,4,2,0,4,2,0.43625,95.9134670487106
6267,DB00166,,,L-asparagine,70-47-3,5JZ52HM7RY,L-Asparagine,Asparagine,,,9,0,C4H8N2O3,"C: 0.4019, H: 0.0685, N: 0.2355, O: 0.2942",132.11896296296294,132.051600896861,3,2,2,4,3,-3.944583333333333,93.88266475644699
5324346,DB00176,CID5324346,,fluvoxamine,54739-18-3,O4L1XPO44W,Luvox,Fevarin,,COC(C=C(N=O)CCCCC1=CC=C(C=C1)C(F)(F)F)N,22,0,C15H21F3N2O2,"C: 0.5718, H: 0.0675, F: 0.1864, N: 0.0866, O: 0.0876",317.9679550561798,317.7754362606232,3,1,7,4,1,3.643757961783439,42.94633027522936
60846,DB00177,CHEMBL838,,valsartan,137862-53-4,80M03YX7UU,"L-158,809",Diovan,,,32,0,C24H29N5O3,"C: 0.6848, H: 0.0667, N: 0.1638, O: 0.0847",435.51519453924914,435.222466367713,6,1,7,6,1,4.781587719298245,93.79441260744986
5362129,DB00178,CHEMBL1728367,,Ramipril,87333-19-5,L35JN3I7SJ,HOE 498,Ramiprilum,,,30,0,C23H30N2O5,"C: 0.6304, H: 0.0726, N: 0.0606, O: 0.2365",414.4947,416.21207407407405,4,2,7,5,2,4.828039215686275,84.43074074074073
71398,DB04111,,,Masoprocol,75695-93-1,P6WQ383V7J,Masoprocol,NSC 298941,,,22,0,C18H20O4,"C: 0.7421, H: 0.0855, O: 0.1724",300.3548148148148,300.138668161435,4,4,4,4,4,4.57888888888889,93.89592592592594
82153,DB00149,CHEMBL1201385,,Flunisolide,3385-03-3,EH47SO4T9H,Flunisolide,NSC-233262,,,29,0,C24H31FO4,"C: 0.6831, H: 0.0735, F: 0.0445, O: 0.1988",402.4989,402.220637,4,1,4,4,1,4.417027450980392,57.315555555555555
2284,DB00181,CHEMBL701,,Baclofen,1134-47-0,H789N3FKE8,Lioresal,GABA derivative,,NC(CCC(O)=O)C1=CC=C(C=C1)Cl,14,0,C10H12ClNO2,"C: 0.5739, H: 0.0574, Cl: 0.1638, N: 0.0659, O: 0.139",213.6697588652482,213.044466367713,2,1,3,2,1,2.3754588235294114,46.670949720670386
3007,DB00182,BIOD00182,,Amphetamine,300-62-9,CK833KGX7E,1-phenylpropan-2-amine,alpha-methylbenzeneethanamine,beta-phenylisopropylamine,CC(N)Cc1ccccc1,10,1,C9H13N,"C: 0.7883, H: 0.1067, N: 0.105",135.20533333333333,135.10368189509305,1,1,2,1,1,1.4785541401273885,25.596330275229356
89594,DB00184,,,nicotine,54-11-5,6X5307BT58,(S)-3-(1-Methyl-2-pyrrolidinyl)pyridine,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,,,12,0,C10H14N2,"C: 0.7265, H: 0.0855, N: 0.1881",162.23134751773048,162.11644444444445,1,0,2,1,0,0.36962962962962964,15.937037037037035
25137844,DB15037,,,cevimeline,107233-08-9,81Q6P61922,AF102B,cevimeline,,,14,0,C10H17NO2S,"C: 0.5558, H: 0.0787, N: 0.0637, O: 0.1469, S: 0.1549",215.3125,215.097999,2,1,2,3,1,1.5080392156862743,43.342960893854745
3958,DB00381,CHEMBL580,,Lorazepam,846-49-1,O26FZP5WCF,Wy 4036,Lorazepamum,,,21,0,C15H10Cl2N2O2,"C: 0.5666, H: 0.0415, Cl: 0.2339, N: 0.0895, O: 0.0685",321.1581,319.9833556280587,2,1,2,4,1,4.432368421052631,43.35679785330947
59768,DB00200,CHEMBL296314,,Esmolol,81161-17-3,MDY902UXSR,Brevibloc,Esmolol hydrochloride,,,21,0,C16H25NO4,"C: 0.6519, H: 0.0846, N: 0.0469, O: 0.2166",295.3809929078013,295.180668161435,4,1,7,4,1,2.4195686274509804,68.49074074074075
387447,DB00188,CHEMBL479739,,Bortezomib,179324-69-7,69G8BD63PP,PS-341,Velcade,,,28,0,C19H25BN4O4,"C: 0.5488, H: 0.0627, B: 0.0258, N: 0.1363, O: 0.2264",384.1142379182156,383.191,4,4,6,6,4,2.547647058823529,134.16713740458016
